CULTURE,ID,SHORT_LABEL,MOBILE_LABEL,ICON,PARENT,LAYER_NAME,HIDDEN,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,SORT_ORDER,REV_GRP_ID
en-US,drawerMenu,Home,Home,Home,HOME,STD,FALSE,NULL,,,demo,,NULL,1,
en-US,drawerMenu,Overview,Overview,DashboardOutlined,OVERVIEW,STD,FALSE,NULL,,,demo,,NULL,2,
en-US,drawerMenu,Reporting,Reporting,FeedOutlined,REPORT,STD,FALSE,NULL,,,demo,,NULL,3,
en-US,drawerMenu,Administration,Adminstration,AdminPanelSettingsOutlined,ADMIN,STD,FALSE,NULL,,,demo,,NULL,4,
en-US,drawerMenu,Tools,Tools,HomeRepairService,TOOLS,STD,FALSE,NULL,,,demo,,NULL,5,
en-US,drawerMenu,Configuration,Configuration,SettingsOutlined,CONFIG,STD,FALSE,NULL,,,demo,,NULL,6,
en-US,REPORT,Viewer,Viewer,NULL,MSRS_VIEWER,STD,FALSE,NULL,,,demo,,NULL,1,
en-US,REPORT,Designer,Designer,NULL,MSRS_DESIGNER,STD,FALSE,NULL,,,demo,,NULL,2,
en-US,ADMIN,Profile,Profile,NULL,PROFILE,STD,FALSE,NULL,,,,,NULL,1,
en-US,ADMIN,Users,Users,NULL,USERS,STD,FALSE,NULL,,,,,NULL,2,
en-US,ADMIN,Roles,Roles,NULL,ROLES,STD,FALSE,NULL,,,,,NULL,3,
en-US,ADMIN,Diagnostics,Diagnostics,NULL,DIAGNOSTICS,STD,FALSE,NULL,,,,,NULL,4,
en-US,TOOLS,Project,Project,NULL,PROJECT,STD,FALSE,NULL,,,,,NULL,1,
en-US,TOOLS,Resources,Resources,NULL,RESOURCE_LIST,STD,FALSE,NULL,,,,,NULL,2,
en-US,TOOLS,Code List,Code List,NULL,CODE_LIST,STD,FALSE,NULL,,,,,NULL,3,
en-US,TOOLS,Types,Types,NULL,TYPES,STD,FALSE,NULL,,,,,NULL,4,
en-US,TOOLS,Workflows,Workflows,NULL,WORKFLOWS,STD,FALSE,NULL,,,,,NULL,5,
en-US,CONFIG,Tags,Tags,DriveFileMoveOutlined,ITEM-TAGS,STD,FALSE,NULL,,,,,NULL,1,
en-US,CONFIG,Routes And Stops,Routes And Stops,DriveFileMoveOutlined,ITEM-ROUTES&STOP,STD,FALSE,NULL,,,,,NULL,2,
en-US,CONFIG,Orgnaization,Orgnaization,DriveFileMoveOutlined,ITEM-ORGANIZATION,STD,FALSE,NULL,,,,,NULL,3,
en-US,CONFIG,Geography,Geography,DriveFileMoveOutlined,ITEM-GEOGRAPHY,STD,FALSE,NULL,,,,,NULL,4,
en-US,CONFIG,Items,Items,DriveFileMoveOutlined,ITEM-ITEMS,STD,FALSE,NULL,,,,,NULL,5,
en-US,ITEM-TAGS,Tag Import,Tag Import,NULL,TAGS_IMPORT,STD,FALSE,NULL,,,,,NULL,1,
en-US,ITEM-TAGS,Tag Manager,Tag Manager,NULL,TAGS_MANAGER,STD,FALSE,NULL,,,,,NULL,2,
en-US,ITEM-TAGS,Tag Calculated,Tag Calculated,NULL,TAGS_CALCULATED,STD,FALSE,NULL,,,,,NULL,3,
en-US,ITEM-ROUTES&STOP,RoutesStop-Tempt,RoutesStop-Tempt,NULL,TYPE.ROUTE,STD,FALSE,NULL,,,,,NULL,1,
en-US,ITEM-ROUTES&STOP,RoutesStop-Tempt,RoutesStop-Tempt,NULL,TYPE.STOP,STD,FALSE,NULL,,,,,NULL,2,
en-US,ITEM-ORGANIZATION,Orgnaization-Tempt,Orgnaization-Tempt,NULL,TYPE.COMPANY,STD,FALSE,NULL,,,,,NULL,1,
en-US,ITEM-ORGANIZATION,Orgnaization-Tempt,Orgnaization-Tempt,NULL,TYPE.ORG_UNIT1,STD,FALSE,NULL,,,,,NULL,2,
en-US,ITEM-ORGANIZATION,Orgnaization-Tempt,Orgnaization-Tempt,NULL,TYPE.ORG_UNIT2,STD,FALSE,NULL,,,,,NULL,3,
en-US,ITEM-ORGANIZATION,Orgnaization-Tempt,Orgnaization-Tempt,NULL,TYPE.ORG_UNIT3,STD,FALSE,NULL,,,,,NULL,4,
en-US,ITEM-ORGANIZATION,Orgnaization-Tempt,Orgnaization-Tempt,NULL,TYPE.ORG_UNIT4,STD,FALSE,NULL,,,,,NULL,5,
en-US,ITEM-GEOGRAPHY,Geography-Tempt,Geography-Tempt,NULL,TYPE.GEO_UNIT1,STD,FALSE,NULL,,,,,NULL,1,
en-US,ITEM-GEOGRAPHY,Geography-Tempt,Geography-Tempt,NULL,TYPE.GEO_UNIT2,STD,FALSE,NULL,,,,,NULL,2,
en-US,ITEM-GEOGRAPHY,Geography-Tempt,Geography-Tempt,NULL,TYPE.GEO_UNIT3,STD,FALSE,NULL,,,,,NULL,3,
en-US,ITEM-ITEMS,ITEMS-TEMPT,ITEM-TEMPT,NULL,TYPE.STD,STD,FALSE,NULL,,,,,NULL,1,
